sequence,case_id,title,activity,created_at,updated_at,actor
2175,192,A prediction of asymmetric triglycerides of palm oil using natural light polarization,Abstract was uploaded,2022-07-20 00:59:45,2022-07-20 00:59:45,Elisa
2176,193,The fitting of the Variance Gamma distribution through a visual approach and a formal test,Abstract was uploaded,2022-07-22 22:12:52,2022-07-22 22:12:52,ABDUL
2177,194,"Digital Analysis of Sentinel-2 Satellite Imagery for Depth Extraction in the Waters of Menjangan Besar Island, Karimunjawa",Abstract was uploaded,2022-07-23 12:52:42,2022-07-23 12:52:42,Tiara
2178,195,A study of light polarization on motorcycle lubricant oil,Abstract was uploaded,2022-07-27 10:21:10,2022-07-27 10:21:10,Nova
2179,196,babababaabbaabab,Abstract was uploaded,2022-07-28 14:18:03,2022-07-28 14:18:03,Moch.
2187,200,Transfer Learning with VGG16 and InceptionV3 for Traffic Sign Classification,Abstract was uploaded,2022-07-30 16:07:52,2022-07-30 16:07:52,Rismiyati
2189,202,Testing of Total Phenol and Total Chlorophyll Ethanol Extract of Potato Leaves (Solanum tuberosum L.) After Application of Trichoderma sp.,Abstract was uploaded,2022-07-31 16:41:04,2022-07-31 16:41:04,Diana
2190,202,Testing,Abstract revision was uploaded,2022-07-31 16:42:24,2022-07-31 16:42:24,Diana Ayu Fitriana
2192,204,Equi-Henstock-Dunford Integral and Its Properties,Abstract was uploaded,2022-08-04 21:26:56,2022-08-04 21:26:56,Solikhin
2193,205,Design of Vivaldi Tapered Slot Antenna for Microwave Imaging in Medical Application,Abstract was uploaded,2022-08-08 07:36:46,2022-08-08 07:36:46,Randy
2194,205,Design,Abstract revision was uploaded,2022-08-08 11:30:43,2022-08-08 11:30:43,Randy Ivanal Hakim
2195,206,Design of Antipodal Antenna Vivaldi for Microwave Imaging in Medical Application,Abstract was uploaded,2022-08-08 12:43:43,2022-08-08 12:43:43,Daffa
2196,207,Data Mining Application for Clustering  Minimarket Sales Data Using K-Medoids,Abstract was uploaded,2022-08-08 14:48:15,2022-08-08 14:48:15,Mohamad
2197,208,Implementation of K-Nearest Neighbor for Classification on Water Potabillity with Imputation and Deletion as Missing Data Handling Process,Abstract was uploaded,2022-08-08 17:42:28,2022-08-08 17:42:28,Rizky
2198,209,The effect of aging time on xerogel silica-peg6000 from geothermal waste for methylene blue adsorption,Abstract was uploaded,2022-08-09 08:08:57,2022-08-09 08:08:57,Pardoyo
2199,210,Covid-19 Cure Factors and Multivariable Hazard Function Using Multiple Periode Logit Model,Abstract was uploaded,2022-08-09 11:41:26,2022-08-09 11:41:26,Sudarno
2200,211,Application of Ordered Statistics to Lifetime Lamp With Exponential Distribution,Abstract was uploaded,2022-08-09 11:44:16,2022-08-09 11:44:16,Sudarno
2201,212,Application of Plant Growth Regulator (PGR) and Vitamin B1 on Root and Leave Tissue Growth of Rhizophora mucronata Lamk.,Abstract was uploaded,2022-08-09 12:39:12,2022-08-09 12:39:12,Erma
2202,212,Application of Plant Growth Regulator (PGR) and Vitamin B1 on Root and Leave Tissue Growth of Rhizophora mucronata Lamk.,Abstract was uploaded,2022-08-09 12:39:17,2022-08-09 12:39:17,Erma
2203,209,The,Abstract revision was uploaded,2022-08-09 20:39:06,2022-08-09 20:39:06,Pardoyo
2204,214,Lipid profile of rat (Rattus norvegicus L.) hyperlipidemic after exposure ethanol extract of mahogany seeds  (Swietenia mahagoni),Abstract was uploaded,2022-08-09 22:35:31,2022-08-09 22:35:31,Sri
2205,215,Enhancement of light polarization in low concentration of ethanol,Abstract was uploaded,2022-08-09 23:50:43,2022-08-09 23:50:43,Melina
2206,216,Synergy Effect of Indigenous Plant Growth Promoting Rhizobacteria (PGPR) and Trichoderma Increasing Potato Production in Medium Land  ,Abstract was uploaded,2022-08-10 09:07:20,2022-08-10 09:07:20,Susiana
2207,208,Implementation,Abstract revision was uploaded,2022-08-10 09:40:21,2022-08-10 09:40:21,Rizky Ramadhan
2208,217,THE EFFECT OF NEGATIVE CORONA PLASMA RADIATION AT ATMOSPHERIC CONDITIONS ON ORGANIC SILK FABRIC GRADUATELY AND CONTINUOUSLY,Abstract was uploaded,2022-08-10 10:17:10,2022-08-10 10:17:10,Zaenul
2209,218,Application of Dose Patients Optimization for CT Scan,Abstract was uploaded,2022-08-10 15:02:42,2022-08-10 15:02:42,Zaenal
2210,219,Anti-Bacterial and Anti-Oxidant Properties of Green Silver Nanoparticles Synthesized Using Leaf Extract of Gandaria (Bouea macrophylla Griff),Abstract was uploaded,2022-08-10 17:52:50,2022-08-10 17:52:50,Philipus
2211,220,The Effect Of Fermentation Time On The Protein Content And Bacterial Number Of Skipjack (Katsuwonus pelamis) Ina Sua,Abstract was uploaded,2022-08-10 18:02:52,2022-08-10 18:02:52,Synodalia
2212,221,Light polarization for determination of main asymmetric triglycerides molecules in brake fluid,Abstract was uploaded,2022-08-10 19:18:21,2022-08-10 19:18:21,Kanaya
2213,222,Phylogenetic and Full-length Genome Mutation Analysis of SARS-CoV-2 in COVID-19 Samples from Intibios Lab in Semarang ,Abstract was uploaded,2022-08-10 21:28:16,2022-08-10 21:28:16,Azalia
2214,223,Preliminary Study Pattern of Light Polarization in Alcohol,Abstract was uploaded,2022-08-10 21:33:45,2022-08-10 21:33:45,Qidir
2215,224,"Antibacterial Activity of Patchouli Oil (Pogostemon cablin Benth.), Clove Oil (Syzygium aromaticum), and Lemongrass Oil (Cymbopogon citratus) Against Escherichia coli and Bacillus subtilis",Abstract was uploaded,2022-08-10 21:40:32,2022-08-10 21:40:32,Anis
2216,225,Growth Rate and Molecular Identification of two Chlorella sp. from Balai Besar Perikanan Budidaya Air Payau (BBPBAP) Jepara,Abstract was uploaded,2022-08-10 21:43:44,2022-08-10 21:43:44,Anis
2217,226,Report on Possible Contaminant Microbes on Chlorophyceae Cultures using TufA Marker Gene,Abstract was uploaded,2022-08-10 21:44:35,2022-08-10 21:44:35,Anis
2218,227,Isolation and identification of lactic acid bacteria from goat's milk and its antifungal ability against Colletotrichum sp.,Abstract was uploaded,2022-08-10 23:23:57,2022-08-10 23:23:57,Siti
2219,228,Chance-constrained Programming Approach for Optimizing the Performance of Domestic Wastewater Stabilization Ponds Under Uncertainty and Chance-based Policy: The Static Case,Abstract was uploaded,2022-08-16 16:11:54,2022-08-16 16:11:54,Sunarsih
2220,229,Impact of Growth Location on The Differentiation of Environment Drivers of Tannin Accumulation In Avicennia Marina,Abstract was uploaded,2022-08-18 09:13:57,2022-08-18 09:13:57,Endah
2221,193,The,Abstract revision was uploaded,2022-08-25 08:52:50,2022-08-25 08:52:50,ABDUL HOYYI
2222,222,Phylogenetic,Abstract revision was uploaded,2022-08-25 12:34:03,2022-08-25 12:34:03,Azalia Puspa Herida
2223,230,Identification of SARS-CoV-2 B-cell Epitope with Fuzzy Decision Tree Model ,Abstract was uploaded,2022-08-25 13:09:49,2022-08-25 13:09:49,Bibit
2224,231,Automatic identification of covid-19 from lung image based on the relationship between parameter of entropy and correlation,Abstract was uploaded,2022-08-25 17:12:41,2022-08-25 17:12:41,Catur
2225,232,"Automatic identification of covid-19 from lung image using parameter of contrast, homogeneity, correlation and energy",Abstract was uploaded,2022-08-25 17:14:18,2022-08-25 17:14:18,Catur
2226,233,Text Data Labeling Process for Semi-Supervised Learning Modeling,Abstract was uploaded,2022-08-26 05:09:52,2022-08-26 05:09:52,Ahmad
2227,223,A study of Van der Waals interaction on ethanol solution using electro-optics polarization,Change Paper Title,2022-08-26 12:43:08,2022-08-26 12:43:08,Administrator.
2228,223,A study of Van der Waals interaction on ethanol solution using electro-optics polarization,Abstract Revised was uploaded,2022-08-26 12:44:13,2022-08-26 12:44:13,Administrator
2229,234,Effect of Activated Carbon and Lithium Titanate Ratio on Electrochemical Performance of Lithium Ion Battery Anodes,Abstract was uploaded,2022-08-26 14:20:04,2022-08-26 14:20:04,Wulan
2230,235,Bonferoni Mean Based Fuzzy K-Nearest Neighbours for Classification with Dimensional Reduction,Abstract was uploaded,2022-08-27 12:10:41,2022-08-27 12:10:41,Bibit
2231,236,Analysis of Breast Cancer Proteomes by Using Fuzzy Clustering by Local Approximation of Membership with Kernel PCA,Abstract was uploaded,2022-08-28 09:18:55,2022-08-28 09:18:55,Bibit
2232,237,Constructing The Dispersion Relation of Surface Polaritons Using Numerical Attenuated Total Reflection (ATR),Abstract was uploaded,2022-08-28 21:50:15,2022-08-28 21:50:15,Vincensius
2233,238,A Preliminary Study on Pollination of Prunus sp in Cibodas Botanic Gardens,Abstract was uploaded,2022-08-29 09:18:01,2022-08-29 09:18:01,Muhammad
2234,239,Optimization of Silicon Rubber-Cu Composites as Bolus in Radiotherapy using Monte Carlo Simulation,Abstract was uploaded,2022-08-29 09:18:55,2022-08-29 09:18:55,Fajar
2235,240,Characterization of Natural Rubber and Silicone Rubber Properties as Bolus for Radiotherapy using Monte Carlo Simulation,Abstract was uploaded,2022-08-29 09:21:09,2022-08-29 09:21:09,Fajar
2236,241,"Plant Diversity in Mount Tujuh Forest, Kerinci Seblat National Park and Its Conservation Efforts",Abstract was uploaded,2022-08-29 09:44:36,2022-08-29 09:44:36,Muhamad
2237,242,USABILITY TESTING OF EVALUATION AND DESIGN ON DANA AND OVO APPLICATIONS,Abstract was uploaded,2022-08-29 12:53:27,2022-08-29 12:53:27,GURUH
2238,242,USABILITY,Abstract revision was uploaded,2022-08-29 14:20:22,2022-08-29 14:20:22,GURUH ARYOTEJO
2239,243,"Molecular Characterization Of The rbcL Gene Encoding The Protein RuBisCO, In Silico Analysis And Proximate Analysis In Potato (Solanum tuberosum L.) Exposed To Frost In The Dieng Mountains",Abstract was uploaded,2022-08-29 18:09:03,2022-08-29 18:09:03,Garinda
2240,244,High-Order Fuzzy Time Series and Firefly Clustering Algorithm for Forecasting Jakarta Composite Index (JKSE),Abstract was uploaded,2022-08-29 22:55:35,2022-08-29 22:55:35,Muhammad
2241,245,Scattering-Based Electrooptic Equipment Design Using Arduino,Abstract was uploaded,2022-08-30 02:59:41,2022-08-30 02:59:41,Muhammad
2242,246,"Analysis of Mathematical Model of Covid-19 in East Java Province, Indonesia",Abstract was uploaded,2022-08-30 07:36:32,2022-08-30 07:36:32,Muhammad
2243,247,On Edge Irregular Total k-Labeling of Sierpinski Star Graph,Abstract was uploaded,2022-08-30 10:13:55,2022-08-30 10:13:55,Deasynanda
2244,248,Design and Implementation Arduino Based Scattering Measurement Device with Webserver,Abstract was uploaded,2022-08-30 10:18:55,2022-08-30 10:18:55,Fathu
2245,249,Gamification In E-Learning For Playgroup,Abstract was uploaded,2022-08-30 11:55:36,2022-08-30 11:55:36,GURUH
2246,250,Electrooptic polarization for study of relative binding energy per molecule in brake fluid,Abstract was uploaded,2022-08-30 12:14:25,2022-08-30 12:14:25,Afifatul
2247,251,A Critical Review: Ozone Micro-bubbles Effects on the Removal of Persistent Antibiotics in Hospital Wastewaters (HWWs),Abstract was uploaded,2022-08-30 12:21:45,2022-08-30 12:21:45,Sera
2248,252,ON THE COMPARISON OF FUZZY CLUSTERWISE GENERALIZED STRUCTURED COMPONENT ANALYSIS AND PARTIAL LEAST SQUARE MODIFIED FUZZY CLUSTERING    IN UNCOVERING UNOBSERVED HETEROGENEITY,Abstract was uploaded,2022-08-30 12:47:06,2022-08-30 12:47:06,Moch
2249,253,Evaluation of the governance of a E-Report Information System with COBIT 2019 Framework (case study: at Public High School),Abstract was uploaded,2022-08-30 14:14:18,2022-08-30 14:14:18,Dinar
2250,254,Development of 3D Tomography Image Reconstruction System to Determine Discontinuity Dimensions in Objects Using Digital Radiography (DR).,Abstract was uploaded,2022-08-30 14:43:39,2022-08-30 14:43:39,Muhammad
2251,255,The Potential Ability of Natural Products from Thermosporothrix hazakensis of Class Ktedonobacteria as Antifungal: In Silico Approach,Abstract was uploaded,2022-08-30 15:20:35,2022-08-30 15:20:35,Yuriza
2252,236,Analysis,Abstract revision was uploaded,2022-08-30 17:02:47,2022-08-30 17:02:47,Bibit Waluyo Aji
2253,256,Study of Light Pollution Characteristics in Berau with Sky ‎Quality Meter,Abstract was uploaded,2022-08-30 19:29:36,2022-08-30 19:29:36,Rahmatul
2254,257,Nonparametric Survival Analysis for Credit Scoring,Abstract was uploaded,2022-08-30 19:35:22,2022-08-30 19:35:22,Tatik
2255,258,"STABILITY ANALYSIS OF THE SVEIAQR MODEL OF THE SPREAD OF COVID-19 IN BANTEN, INDONESIA",Abstract was uploaded,2022-08-30 20:05:43,2022-08-30 20:05:43,Mira
2256,259,Energy Harvesting Stacked System-Coupled Multiple Yeast Microbial Fuel Cells for Enhanced Power Density,Abstract was uploaded,2022-08-30 20:24:39,2022-08-30 20:24:39,Marcelinus
2257,260,PARAMETER SENSITIVITY AND STABILITY ANALYSIS ON THE SEQDITR MODEL OF COVID-19 THE SPREAD ,Abstract was uploaded,2022-08-30 20:41:52,2022-08-30 20:41:52,Dyah
2258,261,Identification of Rock Elements Using Laser Induced Breakdown Spectroscopy Method Based On Variations of Laser Energy,Abstract was uploaded,2022-08-30 21:11:56,2022-08-30 21:11:56,Heri
2259,235,Bonferoni,Abstract revision was uploaded,2022-08-30 21:17:51,2022-08-30 21:17:51,Bibit Waluyo Aji
2260,262,Henstock-Kurzweil Integral of The Approachable Function,Abstract was uploaded,2022-08-30 22:49:41,2022-08-30 22:49:41,Abdul
2261,263,Controllability of The Nonlinear Smoking Model ,Abstract was uploaded,2022-09-01 11:48:52,2022-09-01 11:48:52,R.
2262,264,The Application of Gaussian Copula Regression For Exploring The Effect of weather to Covid-19 in Jakarta,Abstract was uploaded,2022-09-03 11:21:20,2022-09-03 11:21:20,Pepi
2263,264,The,Abstract revision was uploaded,2022-09-03 11:45:04,2022-09-03 11:45:04,Pepi Novianti
2264,265,Singular Value Decomposition And Global Fitting of Femtosecond Time-resolved Absorption Spectra,Abstract was uploaded,2022-09-06 00:22:36,2022-09-06 00:22:36,Ferdy
2265,266,Implementation of Stochastic Volatility Model for risk assessment on Indonesian Stock Exchange,Abstract was uploaded,2022-09-09 09:39:26,2022-09-09 09:39:26,Trimono
2266,267,The Commutation Matrix of The Diagonal and Secondary Diagonal Matrices,Abstract was uploaded,2022-09-09 22:03:49,2022-09-09 22:03:49,Yanita
2267,268,Fuzzy Times Series Forecasting Method Using Markov Chain Model and PAM Clustering Method,Abstract was uploaded,2022-09-10 22:45:10,2022-09-10 22:45:10,Feby
2268,269,Determination of The Most Difficult Course in The Mathematics Study Program Using the Analytical Hierarchy Process Methods,Abstract was uploaded,2022-09-11 05:44:08,2022-09-11 05:44:08,Yanita
2269,255,The Potential Ability of Natural Products from rare Actinobacteria of genus Amycolaptosis as Antifungal: In Silico Approach,Change Paper Title,2022-09-11 18:09:11,2022-09-11 18:09:11,Administrator.
2270,255,The Potential Ability of Natural Products from rare Actinobacteria of genus Amycolaptosis as Antifungal: In Silico Approach,Abstract Revised was uploaded,2022-09-11 18:10:06,2022-09-11 18:10:06,Administrator
2271,230,Identification of SARS-CoV-2 B-cell Epitope with Fuzzy Decision Tree Model ,Abstract Revised was uploaded,2022-09-11 19:29:03,2022-09-11 19:29:03,Administrator
2272,270,Mung Bean Sprouts (Vigna radiata) Extract Potential as Nitrogen Source against the Growth of Saccharomyces cerevisiae in Bioethanol Production,Abstract was uploaded,2022-09-11 19:29:17,2022-09-11 19:29:17,Okti
2273,235,Bonferoni Mean Based Fuzzy K-Nearest Neighbours for Classification with Dimensional Reduction in Multiclass Data,Change Paper Title,2022-09-11 19:30:06,2022-09-11 19:30:06,Administrator.
2274,235,Bonferoni Mean Based Fuzzy K-Nearest Neighbours for Classification with Dimensional Reduction in Multiclass Data,Abstract Revised was uploaded,2022-09-11 19:30:44,2022-09-11 19:30:44,Administrator
2275,236,Analysis of Breast Cancer Proteomes by Using Fuzzy Clustering by Local Approximation of Membership with Kernel PCA,Abstract Revised was uploaded,2022-09-11 19:33:01,2022-09-11 19:33:01,Administrator
2276,270,Mung,Abstract revision was uploaded,2022-09-11 19:33:31,2022-09-11 19:33:31,Okti Hajeng Kristiadi
2277,271,Antioxidant And Phytonutrient Activity In Spirulina Sp and Development of Its Use as Feed Additive in Peking Duck,Abstract was uploaded,2022-09-11 20:03:33,2022-09-11 20:03:33,Dr.
